text,type,image,index
"<b>Brésil, 2015</b>. Rupture d'un barrage de résidus près d’une mine de fer, qualifiée par le gouvernement de « <i>plus grande catastrophe environnementale de ce pays</i> ». La pollution s'étend durablement jusqu'à l'océan Atlantique à 650 km.",Catastrophe,"empty",14
"<b>Roumanie, 2000</b>. Rupture de digue près d'une usine de traitement des stériles.\n\nLes polluants (dont 115 tonnes de cyanure) détruisent la quasi-totalité de la faune et de la flore d'une rivière sur près de 600 km.",Catastrophe,"empty",15
"<b>Canada, 2014</b>. Rupture de barrage près d'une mine de cuivre et d'or.\n\nDes résidus miniers, contenant entre autres des centaines de tonnes de plomb, se déversent dans deux lacs en aval.",Catastrophe,"empty",16
"La Chine est le premier producteur mondial de terres rares et d'autres métaux comme le gallium ou le magnésium.\n\nCela représente un enjeu géopolitique majeur.",Tensions,"empty",17
"Étain, tantale, or et tungstène sont appelés <b>minerais de conflits</b>, ou <b>minerais de sang</b>, car leur exploitation est au coeur de conflits armés, comme en République Démocratique du Congo.",Conflits,"empty",18
"<b>Guatemala, depuis 2014</b>. Les populations locales luttent contre la réouverture d'une mine de nickel qu'ils accusent de pollutions et d'accaparement du territoire sur lequel elles vivent.", Conflit,"empty",19
"<b>Papouasie Nouvelle-Guinée, 1989</b>. Le conflit environnemental et social autour d'une mine de cuivre et d'or se transforme en une guerre civile qui fera environ 20.000 morts en 10 ans.",Conflit,"empty",20
"Au Chili, au Pérou et\nen Argentine, les <b>besoins en eau</b> pour la production de cuivre ou de lithium entrent en conflit avec les besoins des populations locales.",Conflits,"empty",21
"Il y a encore des mines en activité en France : on exploite de l'or en Guyane, du nickel en Nouvelle-Calédonie (6% de la production mondiale en 2023) et de la bauxite vers Montpellier.",En France,"empty",22
"L'ouverture d'une mine de lithium est prévue d'ici 2027 dans le Massif central. Ce sera l'une des plus grandes d'Europe.",En France,"empty",23
"Des centaines d'anciennes mines n'ont pas été dépolluées lors de leur fermeture.\n\nCertaines causent aujourd'hui encore des pollutions majeures.",En France,"empty",24
"La <b>République Démocratique du Congo</b> est le premier producteur mondial \nde <b>cobalt</b> (74% de la production en 2023).\n\nOn trouve du cobalt dans la carte mère et la batterie des smartphones.",Géographie,"empty",25
"L'<b>Indonésie</b> est le premier producteur mondial de <b>nickel</b> \n(50% de la production en 2023).\n\nOn trouve du nickel dans la carte mère et la coque des smartphones.",Géographie,"empty",26
"Le recyclage des cartes électroniques nécessite des technologies de pointe et des infrastructures très coûteuses.",Recyclage,"empty",27
"Les métaux communs (cuivre, plomb, fer, aluminium...) et les métaux précieux (or, argent, platine...) sont recyclés à plus de 50%.",Recyclage,"empty",28
"De nombreux métaux, dont les terres rares, ne sont quasiment pas recyclés.",Recyclage,"empty",29
"La <b>teneur</b> en métal d’un minerai est la proportion de métal contenue dans ce minerai.\n\nPar exemple, la teneur en cuivre d'un minerai est en moyenne autour de 0,6% (6g de cuivre pour 1kg de minerai).",Définition,"empty",30
"Pour satisfaire la demande en métaux on extrait des minerais avec des teneurs de plus en plus faibles.\n\nIl faut donc extraire beaucoup plus de matière pour produire la même quantité de métal.",Pour info,"empty",31
"Les <b>terres rares</b> (à ne pas confondre avec les métaux rares !) sont des métaux assez abondants dans la croûte terrestre mais avec une teneur très faible.",Pour info,"empty",32
"Même s'il existe de nombreuses mines <b>sous-terraines</b>, la majorité des mines actuelles sont exploitées à <b>ciel ouvert</b>.",Pour info,"empty",33
" ",En image,"MineCuivreRoumanie",34
" ",En image,"MineColtanRDC",35
"Camions dans la mine de cuivre de Kennecott aux États-Unis, https://commons.wikimedia.org/w/index.php?curid=28685742",En image,"mine_lithium",36
"Les mines d’or contiennent souvent naturellement du mercure et de l’arsenic, dangereux pour la santé et l'environnement.",Risques,"empty",37
"L’industrie minière est la première cause dans le monde de <b>conflits environnementaux</b>.\n\nEn 2019, 50 défenseurs de l'environnement ont été assassinés dans des conflits liés à l'industrie minière.",Conflits,"empty",38
"<b>Brésil, 2019</b>. Rupture d'un barrage de résidus d’une mine de fer, causant 243 morts, 27 disparus et des centaines de blessés.\n\nL'exploitant versera près de 6 milliards d’euros de dommages.",Catastrophe,"empty",39
"<b>Hongrie, 2010</b>. Rupture de digue près d'une usine d'aluminium. Une boue rouge inonde plusieurs villages, causant 10 morts et 286 blessés.\n\nIl s'agit de la pire catastrophe industrielle qu’ait connue la Hongrie.",Catastrophe,"empty",40
"Il existe très peu d'usines capables de recycler une grande diversité des métaux contenus dans une carte électronique, et aucune en France.",Recyclage,"empty",41
"Les principales difficultés techniques liées au recyclage des métaux contenus dans les smartphones sont :\n\n1) d'identifier ces métaux\n\n2) de les séparer des autres métaux.",Recyclage,"empty",42
"<b>Belgique, 2020</b>. À cause des poussières émises par une usine de recyclage de métaux, les enfants de ce quartier présentent des taux de plomb dans le sang considérés comme dangereux.",Recyclage,"empty",43
"Une ancienne mine d'or vers Carcassonne cause d'importants problèmes de pollution à l'arsenic.\n\nIl a entre autres été interdit de vendre des légumes produits dans la région.",En France,"empty",44
"Plusieurs projets d'exploration minière sont actuellement en cours ou en attente d'autorisation en France, pour exploiter or, lithium, étain...",En France,"empty",45
"La <b>Russie</b> est le premier producteur mondial de <b>palladium</b> (44% de la production en 2023).\n\nOn trouve du palladium dans la carte mère des smartphones.",Géographie,"empty",46
"L'<b>Australie</b> est le premier producteur mondial de <b>lithium</b> (48% de la production en 2023).\n\nOn trouve du lithium dans la batterie des smartphones.",Géographie,"empty",47
"On exploite souvent plusieurs métaux dans une mine.\n\nIl existe par exemple de nombreuses mines produisant à la fois du cuivre et du zinc.",Pour info,"empty",48
"Les mines de zinc contiennent souvent naturellement du mercure, de l’arsenic et du plomb, dangereux pour la santé et l'environnement.",Risques,"empty",49
"Une grande partie des exploitations minières se situent dans des pays en situation de <b>stress hydrique</b>, où les besoins en eau douce dépassent les ressources disponibles.",Tensions,"empty",50
"La <b>Chine</b> est le premier producteur mondial de <b>terres rares</b> (69% de la production mondiale en 2023, contre 98% en 2010).\n\nOn trouve des terres rares dans la carte mère et l'écran des smartphones.",Géographie,"empty",51
"La <b>République Démocratique du Congo</b> est le premier producteur mondial de <b>tantale</b> (41% de la production en 2023).\n\nOn trouve du tantale dans la carte mère des smartphones.",Géographie,"empty",52
"La <b>Chine</b> est le premier producteur mondial de <b>gallium</b> (98% de la production en 2023).\n\nOn trouve du gallium dans la carte mère des smartphones.",Géographie,empty,53
"L'<b>Afrique du Sud</b> est le premier producteur mondial de <b>platine</b> (67% de la production en 2023).\n\nOn trouve du platine dans la carte mère des smartphones.",Géographie,"empty",54
"Un <b>terril</b> est une colline artificielle formée par l'accumulation de stériles ou de résidus issus de l’exploitation d'une mine.",Définition,"empty",55
"On appelle <b>réserves</b> mondiales d'un métal (par ex. de cuivre) la quantité actuellement exploitable de ce métal dans la croûte terrestre.\n\nLes réserves sont très inégalement réparties dans le monde.",Définition,"empty",56
"En France, le <b>code minier</b> définit la distinction entre mines et carrières. On parle de mine lorsque le matériau extrait est considéré comme stratégique, et de carrière sinon.",Pour info,"empty",57
"De nombreux métaux du numérique sont des <b>sous</b>-<b>produits</b>, c'est-à-dire qu'ils sont récupérés lors du traitement d'autres métaux.\n\nPar exemple, le gallium est un sous-produit de l'aluminium.",Pour info,"empty",58
"La teneur moyenne varie beaucoup entre les différents métaux : environ 45% pour le fer (45g de fer pour 100g de minerai) mais seulement 0,00008% pour l'or (8g d'or pour 10 tonnes de minerai) !",Pour info,"empty",59
"La production mondiale varie beaucoup entre les métaux : quelques centaines de tonnes par an pour certains métaux précieux mais 100.000 fois plus pour certains métaux communs !",Pour info,"empty",60
